年份,特材代碼,特材代碼前五碼,核價類別名稱,中英文品名,產品型號/規格,單位,支付點數,申請者簡稱,許可證字號
111, ACM0101285BB,ACM01,多路連接頭/2-PORTS, ANGIODYN HIGHT PRESSURE MANIFOLDS STOPCOCKS DOUBLE PORTS 500PSI 1000PSI,5012155;5012163;5012759;5012783;5012031;5012112;5012015;5012104;5012199, EA,179.0,台灣柏朗,衛署醫器輸字第018360號
111, ACM01MAN2PGJ,ACM01,多路連接頭/2-PORTS, MANIFOLDS (2 PORT 500PSI)多路引流器,06-002005-01;06-102005-01(06-002006-01;06-102006-01自1041101生效), 個,179.0,吉生,衛署醫器製字第003065號
111, ACM01MAN2NBQ,ACM01,多路連接頭/2-PORTS," ""邦特""多管道引流器",BT-MF-25;50-B;W-F;O-2-B;H-P-TB;BT-MF-25;50-B;W-F;O-2-B;H-TB, 個,179.0,邦特,衛部醫器製字第004579號
111, ACM01CHPM216,ACM01,多路連接頭/2-PORTS," ""昊佑"" 多路水接頭""HAO YO"" COMFORT HIGH PRESSURE MANIFOLDS",AM0209;AM0210, 個,179.0,昊佑企業有限公司,衛部醫器陸輸字第001203號
111, ACM01502RXMR,ACM01,多路連接頭/2-PORTS, MANIFOLD 2-PORTS 500 PSI,502HF-R, EA,179.0,科達,衛署醫器輸字第010140號
111, ACM01MFD225S,ACM01,多路連接頭/2-PORTS, “昕力”一次性使用連通器:2路“SUNMED” MANIFOLD AND STOPCOCKS:2 PORT,SM-MF-21;SM-MF-22, 個,179.0,凱薩琳,衛部醫器陸輸字第000819號
111, ACM01APMF2H9,ACM01,多路連接頭/2-PORTS, ANGIO PACK:MANIFOLDS 2 PORT/500,20-1002-03-01;02, EA,179.0,華億,衛署醫器製字第001681號
111, ACM0101286BB,ACM01,多路連接頭/3-PORTS, ANGIODYN HIGHT PRESSURE MANIFOLDS STOPCOCKS TRIPLE PORTS 500PSI 1000PSI,5012813;5012848;5012074;5012066;5012893;5012094, EA,200.0,台灣柏朗,衛署醫器輸字第018360號
111, ACM01MAN3PGJ,ACM01,多路連接頭/3-PORTS, MANIFOLDS (3 PORT 500PSI)多路引流器,06-003005-01;(06-003006-01自1041101生效), 個,200.0,吉生,衛署醫器製字第003065號
111, ACM01MAN3NBQ,ACM01,多路連接頭/3-PORTS," ""邦特""多管道引流器""BIOTEQ""MANIFOLDS",BT-MF-25;50-B;W-F;O-3-B;H-P-TB;BT-MF-25;50-B;W-F;O-3-B;H-TB, 個,200.0,邦特,衛部醫器製字第004579號
111, ACM01CHPM316,ACM01,多路連接頭/3-PORTS," ""昊佑"" 多路水接頭""HAO YO"" COMFORT HIGH PRESSURE MANIFOLDS",AM0309;AM0310, 個,200.0,昊佑企業有限公司,衛部醫器陸輸字第001203號
111, ACM01503RXMR,ACM01,多路連接頭/3-PORTS, MANIFOLD 3-PORTS 500 PSI,503HF-R, EA,200.0,科達,衛署醫器輸字第010140號
111, ACM01MFD325S,ACM01,多路連接頭/3-PORTS, “昕力”一次性使用連通器:3路“SUNMED” MANIFOLD AND STOPCOCKS:3 PORT,SM-MF-31;SM-MF-32, 個,200.0,凱薩琳,衛部醫器陸輸字第000819號
111, ACM01APMF3H9,ACM01,多路連接頭/3-PORTS, ANGIO PACK:MANIFOLDS 3 PORT/500,20-1002-03-03, EA,200.0,華億,衛署醫器製字第001681號
111, ACM01MAN4PGJ,ACM01,多路連接頭/4-PORTS, MANIFOLDS (4 PORT 500PSI)多路引流器,06-004005-01, EA,261.0,吉生,衛署醫器製字第003065號
111, ACM01MAN4NBQ,ACM01,多路連接頭/4-PORTS," ""邦特""多管道引流器""BIOTEQ""MANIFOLDS",BT-MF-25;50-B;W-F;O-4-B;H-P-TB;BT-MF-25;50-B;W-F;O-4-B;H-TB, 個,261.0,邦特,衛部醫器製字第004579號
111, ACM01MFD425S,ACM01,多路連接頭/4-PORTS, “昕力”一次性使用連通器:4路“SUNMED” MANIFOLD AND STOPCOCKS:4 PORT,SM-MF-41;SM-MF-42, 個,261.0,凱薩琳,衛部醫器陸輸字第000819號
111, ACM01MA2PTGJ,ACM01,多路連接頭/2-PORTS 及中壓連接管(可達500psi), MANIFOLDS (2 PORT 500PSI W/PVC PT)多路引流器(含PVC壓力連接管),06-002005-04;06;06-102005-04;06;(06-002006-04;06-002006-06;06-102006-04;06-102006-06自1041101生效), 個,188.0,吉生,衛署醫器製字第003065號
